sentence_A,sentence_B,relatedness_score
A man with a jersey is dunking the ball at a basketball game,There is no man dunking the ball at a basketball game,-0.5
The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,-0.6000000000000001
A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,-0.8500000000000001
The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,-0.44999999999999996
A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,-0.30000000000000004
A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,-0.25
The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,-0.5
There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background,-0.25
The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,-0.30000000000000004
The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,-0.3999999999999999
Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching,-0.7000000000000002
Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,-0.19999999999999996
Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,-0.5
Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,-0.9500000000000002
Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,-0.44999999999999996
Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,-0.44999999999999996
Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,-0.20750000000000002
Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,-0.3500000000000001
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,-0.3500000000000001
Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,-0.30000000000000004
Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,-0.44999999999999996
Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,-0.9500000000000002
Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,-0.5
Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,-0.44999999999999996
Three boys are jumping in the leaves,Three kids are jumping in the leaves,-0.7000000000000002
Three kids are sitting in the leaves,Three kids are jumping in the leaves,-0.3999999999999999
Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,-0.5499999999999998
Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,-0.25
Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,-0.44999999999999996
Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,-0.050000000000000044
Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,-0.44999999999999996
Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,-0.5
Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,-0.7000000000000002
Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,-0.3999999999999999
Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,0.050000000000000044
Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,-0.8999999999999999
Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,-0.5499999999999998
Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,-0.7999999999999998
Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,-0.30000000000000004
Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,-0.5499999999999998
There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,-0.1499999999999999
Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,0.25
Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,-0.6000000000000001
A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,-0.8500000000000001
A little girl is looking at a woman in costume,The little girl is looking at a man in costume,-0.3999999999999999
A little girl is looking at a woman in costume,A little girl in costume looks like a woman,0.050000000000000044
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,-0.7000000000000002
People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,-0.10000000000000009
People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,-0.3174999999999999
Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,0.85
A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,0.30000000000000004
A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,0.19999999999999996
A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.3999999999999999
People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,0.0
People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,0.5
A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.19999999999999996
A lone biker is jumping in the air,"A biker is jumping in the air, alone",-1.0
There is no biker jumping in the air,A lone biker is jumping in the air,-0.6000000000000001
A man is jumping into an empty swimming pool,A man is jumping into an empty pool,-0.8999999999999999
A man is jumping into an empty pool,A man is jumping into a full pool,0.0
A man is jumping into an empty pool,The man's jumper is in the empty pool,-0.050000000000000044
A lone biker is jumping in the air,A man is jumping into an empty swimming pool,0.7
A lone biker is jumping in the air,A man is jumping into a full pool,0.65
The man's jumper is in the empty pool,A lone biker is jumping in the air,0.8
A man is jumping into an empty pool,"A biker is jumping in the air, alone",0.7
A man is jumping into an empty pool,There is no biker jumping in the air,0.9
A lone biker is jumping in the air,A man is jumping into an empty pool,0.75
Four kids are doing backbends in the park,Four children are doing backbends in the park,-0.8999999999999999
Four children are doing backbends in the gym,Four children are doing backbends in the park,-0.3999999999999999
Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,-0.5499999999999998
Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,-0.5
Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,-0.3500000000000001
Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,-0.3500000000000001
Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,-0.6499999999999999
Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,-0.3999999999999999
Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,-0.5499999999999998
A man who is playing is running with the ball in his hands,A player is running with the ball,-0.6499999999999999
A player is throwing the ball,A player is running with the ball,-0.25
Two groups of people are playing football,Two teams are competing in a football match,-0.8500000000000001
Two teams are competing in a football match,Two teams are competing in a baseball game,-0.44999999999999996
Two teams are competing in a football match,Football is being played by two competing teams,-0.8999999999999999
Two groups of people are playing football,A player is running with the ball,0.44999999999999996
Two teams are competing in a baseball game,A player is running with the ball,0.0
A player is running with the ball,Football is being played by two competing teams,0.0
Two teams are competing in a football match,A man who is playing is running with the ball in his hands,0.1499999999999999
A player is throwing the ball,Two teams are competing in a football match,0.050000000000000044
A player is running with the ball,Two teams are competing in a football match,0.19999999999999996
Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,-0.8999999999999999
Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,-0.6000000000000001
Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,-0.10000000000000009
Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,-0.8999999999999999
Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,-0.3500000000000001
Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,0.10000000000000009
Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,0.19999999999999996
Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,0.0
Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,0.1499999999999999
Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,0.3500000000000001
Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,0.3500000000000001
An old man is sitting in a field,A man is sitting in a field,-0.7000000000000002
A man is sitting in a field,A man is running in a field,0.19999999999999996
A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,-0.5499999999999998
A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,-0.1499999999999999
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,-0.19999999999999996
A person is sitting in a field and is wearing a hat,A man is sitting in a field,-0.5
A man is sitting in a field,There is no person wearing a hat and sitting on the grass,0.1499999999999999
A person is sitting and wearing a grass hat,A man is sitting in a field,-0.1499999999999999
An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.10000000000000009
A person is wearing a hat and is sitting on the grass,A man is running in a field,0.8
A man is sitting in a field,A person is wearing a hat and is sitting on the grass,-0.3999999999999999
The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,-0.9500000000000002
A group of friends are riding the current in a raft,A group is not riding the current in a raft,-0.3500000000000001
This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,-0.9500000000000002
Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,-0.19999999999999996
A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,0.050000000000000044
Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,0.3999999999999999
The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,-0.10000000000000009
A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.10000000000000009
A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,-0.050000000000000044
A deer is jumping over a fence,A deer is jumping over the enclosure,-0.7675000000000001
A deer is jumping over a fence,A deer isn't jumping over the fence,-0.44999999999999996
A wild deer is jumping a fence,A deer is jumping a fence,-0.8999999999999999
A deer is jumping a fence,There is no deer jumping fences,-0.5499999999999998
A wild deer is jumping a fence,A deer is jumping over a fence,-0.75
There is no deer jumping fences,A deer is jumping over a fence,0.15749999999999997
A deer is jumping over the enclosure,A deer is jumping a fence,-0.6000000000000001
A deer is jumping a fence,A deer isn't jumping over the fence,-0.2749999999999999
A deer is jumping over a fence,A deer is jumping a fence,-0.9500000000000002
People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,-0.8500000000000001
People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,-0.19999999999999996
Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,-0.8500000000000001
Several people are in front of a colorful building,Nobody is in front of the colorful building,-0.25
Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,-0.3999999999999999
People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,-0.30000000000000004
People are walking outside the building that has several murals on it,Several people are in front of a colorful building,-0.30000000000000004
Several people are in front of a colorful building,People are walking inside a building that has many murals on it,-0.19999999999999996
People are walking outside a building that has many murals on it,Several people are in front of a colorful building,-0.3500000000000001
A boy is hitting a baseball,A child is hitting a baseball,-0.7000000000000002
A child is hitting a baseball,A child is missing a baseball,-0.3999999999999999
A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,-0.7999999999999998
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,-0.44999999999999996
A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,-0.3500000000000001
A family is watching a boy who is hitting a baseball,A child is hitting a baseball,-0.3500000000000001
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,-0.007500000000000062
A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,-0.3500000000000001
A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,-0.6000000000000001
A child is missing a baseball,A family is watching a little boy who is hitting a baseball,0.1499999999999999
A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,-0.5499999999999998
A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,-0.8999999999999999
A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,-0.19999999999999996
A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,-0.25
Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,-0.7999999999999998
Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,-0.10000000000000009
A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,-0.1499999999999999
A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,0.050000000000000044
Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,0.19999999999999996
A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,-0.050000000000000044
A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.0
Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,-0.10000000000000009
A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,-0.1499999999999999
A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,-0.1499999999999999
A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,-0.5499999999999998
A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,-0.3999999999999999
Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,-0.7999999999999998
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,-0.3500000000000001
A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,-0.30000000000000004
Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,-0.30000000000000004
Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,-0.08250000000000002
Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,-0.30000000000000004
Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,-0.3500000000000001
A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,-0.7999999999999998
There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,-0.3500000000000001
A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,-0.8999999999999999
A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,-0.3500000000000001
A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,-0.5
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,-0.1499999999999999
A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,-0.3999999999999999
There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,-0.1499999999999999
A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,-0.75
A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,-0.6000000000000001
There is no dog leaping in the air,A dog is leaping high in the air and another is watching,-0.1499999999999999
Two dogs are playing by a tree,Two dogs are playing by a plant,-0.7999999999999998
Two dogs are playing by a tree,Two dogs are sleeping by a tree,-0.2825
A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,0.10000000000000009
A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,0.19999999999999996
Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,-0.3500000000000001
Two dogs are playing by a tree,There is no dog leaping in the air,0.1499999999999999
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,0.0
A girl in white is dancing,A girl is wearing white clothes and is dancing,-0.9500000000000002
There is no girl in white dancing,A girl in white is dancing,-0.6000000000000001
The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,-0.7000000000000002
The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,-0.44999999999999996
The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,-0.44999999999999996
A girl in white is dancing,The dancer is dancing in front of the sound equipment,-0.5
A girl in white is dancing,The blond girl is dancing behind the sound equipment,-0.1499999999999999
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,0.1499999999999999
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,-0.25
The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,-0.1499999999999999
A girl in white is dancing,The blond girl is dancing in front of the sound equipment,-0.1499999999999999
The children of a family are patiently playing and waiting,The children of a family are playing and waiting,-0.75
The children of a family are playing and waiting,There are no children playing and waiting,-0.050000000000000044
Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,-0.75
Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,-0.44999999999999996
Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,-0.3500000000000001
The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,0.55
The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,0.1499999999999999
The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,0.55
The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,0.3500000000000001
There are no children playing and waiting,Three Asian kids are dancing and a man is looking,0.7
Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,0.3500000000000001
A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,-0.6499999999999999
A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,-0.5
A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,-0.44999999999999996
The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,-0.44999999999999996
The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,-0.44999999999999996
The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,-0.3500000000000001
A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,0.3500000000000001
The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,-0.30000000000000004
The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,-0.30000000000000004
A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,0.25
A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,0.0
The woman is wearing glasses and a black headdress,An Egyptian is wearing a woman's headdress,-0.050000000000000044
The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,-0.3999999999999999
A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,-0.8500000000000001
A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,-0.10000000000000009
A man is on a rock high above some trees and is standing in an uncomfortable position,A man is on a rock high above some trees and is standing in a strange position,-0.6000000000000001
There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,-0.6499999999999999
A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,0.25
A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,0.25
A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,0.050000000000000044
There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0.30000000000000004
A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,-0.10000000000000009
A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,-0.8500000000000001
A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,-0.5499999999999998
A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,0.10000000000000009
The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,-0.8999999999999999
The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,-0.30000000000000004
The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,0.050000000000000044
The brown horse is far from a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,0.25
A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,-0.10000000000000009
A cowboy is riding a horse and cornering a barrel,The brown horse is near a red barrel at the rodeo,-0.3500000000000001
The brown horse is near a red barrel at the rodeo,A cowgirl is riding a barrel near a horse in the corner,-0.050000000000000044
A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,-0.3999999999999999
A boy is standing in the cold water,A boy is standing in the water,-0.5499999999999998
A boy is standing outside the water,A boy is standing in the water,-0.30000000000000004
The kid is swimming through the blue ocean,The boy is wading through the blue ocean,-0.6000000000000001
The boy is sitting near the blue ocean,The boy is wading through the blue ocean,-0.10000000000000009
A boy is standing in the water,The kid is swimming through the blue ocean,0.0
A boy is standing in the water,The boy is sitting near the blue ocean,0.10000000000000009
The boy is wading through the blue ocean,A boy is standing in the cold water,-0.1499999999999999
A boy is standing outside the water,The boy is wading through the blue ocean,-0.0674999999999999
A boy is standing in the water,The boy is wading through the blue ocean,-0.5
A skilled man is playing a guitar on stage,A man is playing a guitar on stage,-0.7999999999999998
A man is playing a guitar on stage,There is no man playing a guitar on stage,-0.30000000000000004
A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair,-0.8500000000000001
A bald person is playing a guitar,A person has blonde and flyaway hair and is playing a guitar,-0.44999999999999996
A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,0.0
A man is playing a guitar on stage,A bald person is playing a guitar,-0.3999999999999999
A skilled man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,-0.3999999999999999
There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,-0.19999999999999996
A man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.0
Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,-0.5
Several children are sitting down and have their knees raised,Several children are standing up,-0.14250000000000007
Two young girls are sitting on the ground,Two girls are sitting on the ground,-0.7000000000000002
Two girls are lying on the ground,Two girls are sitting on the ground,-0.3999999999999999
Two young girls are sitting on the ground,Several children are sitting down and have their knees raised,0.050000000000000044
Two girls are lying on the ground,Several children are sitting down and have their knees raised,0.10000000000000009
Several children are lying down and are raising their knees,Two girls are sitting on the ground,0.3500000000000001
Several children are standing up,Two girls are sitting on the ground,0.6
Several children are sitting down and have their knees raised,Two girls are sitting on the ground,-0.10000000000000009
A nude lady is walking in front of many people in body paint,A nude lady is walking in front of a crowd in body paint,-0.8500000000000001
A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,0.050000000000000044
A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,-0.050000000000000044
"A young, topless woman is covered in paint",A topless girl is covered in paint,-0.7000000000000002
"An old, topless woman is covered in paint","A young, topless woman is covered in paint",-0.3999999999999999
A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,-0.3999999999999999
"An old, topless woman is covered in paint",A nude lady is walking in front of a crowd in body paint,-0.050000000000000044
"A young, topless woman is covered in paint",A nude lady is walking in front of many people in body paint,-0.25
There is no lady walking in body paint in front of a crowd ,"A young, topless woman is covered in paint",-0.10000000000000009
A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",0.0
A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",-0.6000000000000001
A group of people is near the ocean,A crowd of people is near the water,-0.6499999999999999
A crowd of people is near the water,A crowd of people is far from the water,-0.3999999999999999
A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,-0.75
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,-0.3999999999999999
A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,-0.1499999999999999
A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.7
A group of children in uniforms is standing at a gate and there is no one kissing the mother,A crowd of people is near the water,0.85
A group of mothers in uniforms is standing near the children and one is kissing the gate,A crowd of people is near the water,0.65
A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,0.6
A crowd of people is far from the water,A group of children in uniforms is standing at a gate and one is kissing the mother,1.0
A crowd of people is near the water,A group of children in uniforms is standing at a gate and one is kissing the mother,0.55
A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,-0.8500000000000001
