,Question,Answere
0,What is dexamethasone and does it work against COVID-19?,"Dexamethasone is a corticosteroid used in a wide range of conditions for its anti-inflammatory and immunosuppressant effects.It was tested in hospitalized patients with COVID-19 in the United Kingdom’s national clinical trial RECOVERY and was found to have benefits for critically ill patients.According to preliminary findings shared with WHO (and now available as a preprint), for patients on ventilators, the treatment was shown to reduce mortality by about one third, and for patients requiring only oxygen, mortality was cut by about one fifth."
0,Why is environmental surveillance of wastewater important during disease outbreaks?,"Testing wastewater has a long history of use in public health. Environmental surveillance is already used to detect poliovirus in high risk settings, monitor antimicrobial resistance and complement surveillance for other public health programmes."
0,Can I adapt previous frameworks for pandemic influenza to guide resource allocation for COVID-19?,"Many ethical frameworks have been produced for resource allocation, some of which have
been included in pandemic plans. Those frameworks provide useful guidance in the current
scenario. Yet, when applying them, we must take into account the type of health care
resource, the context, and the stage of the pandemic. That is, while the ethical principles that
apply to resource allocation might be the same in different pandemics, they can lead to
different decisions, given contextual circumstances. For example, this pandemic appears to
significantly impact older adults (those 60 years of age or older), and such characteristics are
relevant to shaping priorities for the allocation of resources during COVID-19. As a result, it
may be inappropriate to use critical care triage guidelines that have age cut-offs that
deprioritize or exclude those aged over 60 years.When applying ethical guidelines for resource allocation, we should consider the extent to
which resources are overwhelmed in the current context. It would be inappropriate, for
instance, to exclude population groups from being allocated a resource (for example,
ventilators) at the outset of a pandemic when capacity remains. When resources are scarce,
though – when there is an insufficient supply to meet everyone’s needs – resource allocation
should be guided by well established, broadly applicable ethical principles, unless there are
characteristics of the outbreak that justify different courses of action. Irrelevant
characteristics of populations within countries, such as ethnicity, race or creed, should play
no role in any resource allocation in any pandemic. This reflects our commitment to treating
people with equal respect."
0,How can food businesses remain safe from virus contamination?,"The main priority is to keep the virus out of the food environment. Several key measures are required including upgrading of cleaning and sanitation measures, disinfecting surfaces and high-touch points, educating staff on the virus and how to protect themselves and others, reinforcing protocols such as physical distancing, hand washing, and improved security with people staying in their vehicles/sanitizing hands when handing out documents and other material."
0,"Can I get COVID-19 from eating fresh foods, like fruits and vegetables?","There is currently no evidence that people can catch COVID-19 from food, including fruits and vegetables. Fresh fruits and vegetables are part of a healthy diet and their consumption should be encouraged.  Read more in the COVID-19 and food safety: guidance for food businesses."
0,How should imported foods from countries with high prevalence of COVID-19 be treated?,"As food has not been implicated in the transmission of COVID-19, imported food should be subjected to the same import controls as before the pandemic. See FAO guidance on risk based imported food control."
0,Can I get COVID-19 from food?,There is currently no evidence that people can catch COVID-19 from food or food packaging. COVID-19 is a respiratory illness and the transmission route is through person-to-person contact and through direct contact with respiratory droplets generated when an infected person coughs or sneezes.
0,Can COVID-19 be transmitted at the workplace?,"COVID-19 spreads primarily through respiratory droplets or contact with contaminated surfaces. Exposure can occur at the workplace, while travelling to work, during work-related travel to an area with local community transmission, as well as on the way to and from the workplace."
0,What is ‘herd immunity’?,"'Herd immunity', also known as 'population immunity', is the indirect protection from an infectious disease that happens when a population is immune either through vaccination or immunity developed through previous infection. WHO supports achieving 'herd immunity' through vaccination, not by allowing a disease to spread through any segment of the population, as this would result in unnecessary cases and deaths.Herd immunity against COVID-19 should be achieved by protecting people through vaccination, not by exposing them to the pathogen that causes the disease. Read the Director-General’s 12 October media briefing speech for more detail. Vaccines train our immune systems to create proteins that fight disease, known as ‘antibodies’, just as would happen when we are exposed to a disease but – crucially – vaccines work without making us sick. Vaccinated people are protected from getting the disease in question and passing on the pathogen, breaking any chains of transmission. Visit our webpage on COVID-19 and vaccines for more detail. To safely achieve herd immunity against COVID-19, a substantial proportion of a population would need to be vaccinated, lowering the overall amount of virus able to spread in the whole population. One of the aims with working towards herd immunity is to keep vulnerable groups who cannot get vaccinated (e.g. due to health conditions like allergic reactions to the vaccine) safe and protected from the disease. Read our Q&A on vaccines and immunization for more information.The percentage of people who need to be immune in order to achieve herd immunity varies with each disease. For example, herd immunity against measles requires about 95% of a population to be vaccinated. The remaining 5% will be protected by the fact that measles will not spread among those who are vaccinated. For polio, the threshold is about 80%. The proportion of the population that must be vaccinated against COVID-19 to begin inducing herd immunity is not known. This is an important area of research and will likely vary according to the community, the vaccine, the populations prioritized for vaccination, and other factors.  Achieving herd immunity with safe and effective vaccines makes diseases rarer and saves lives. Find out more about the science behind herd immunity by watching or reading this interview with WHO’s Chief Scientist, Dr Soumya Swaminathan."
0,Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?,"People living with HIV (PLHIV) who are not taking antiretroviral treatment (ART) and have a low CD4 cell count, particularly those with advanced HIV disease, are at increased risk of opportunistic infections and AIDS related complications. However, there
    is evolving and conflicting evidence whether people living with HIV have an increased risk of acquisition of SARS-CoV-2 infection and/or COVID-19 clinical complications in PLHIV compared to the general population. PLHIV can have a greater prevalence of the known risk factors for COVID-19 acquisition and complications, such as heart disease, kidney disease, diabetes, chronic pulmonary disease, obesity, as well as, other comorbidities and co-infections, like tuberculosis. Several case report series and small cohort studies among hospitalized PLHIV with COVID-19 have shown comparable clinical outcomes and similar risk of SARS CoV2 infection when compared with general population, particularly in those with well controlled HIV infection (on ART and with a CD4 count > 200 cells/mm3 and suppressed viral load). These limited clinical data suggest the mortality risk in PLHIV is associated with known COVID-19 factors such as older age and presence of comorbidities including cardiovascular disease, diabetes, chronic respiratory disease and obesity [1-3].There have been several systematic and non-systematic reviews that evaluated COVID-19 outcomes among PLHIV; most have found comparable outcomes of mortality and morbidity when compared with HIV negative patients [4-8]. Methods did not always include assessment of outcomes while controlling for known COVID-19 risk factors [4]. There is also limited data in patients with advanced HIV disease (i.e. low CD4 cell count).  One systematic review, notably published as a pre-print, found of 144,795 hospitalized COVID-19 patients in North America, Europe, and Asia the pooled prevalence of HIV in COVID-19 patients was 1.22% [95% (CI): 0.61%-2.43%)] translating to a 2-fold increase compared to the respective local-level pooled HIV prevalence in the general population of 0.65% (95% CI: 0.48%-0.89%) – which hinted at a potential susceptibility among PLHIV [9].  Additional data on this topic come from several cohort studies from South Africa, the USA and the UK [10-12] have reported a moderate increased risk of death directly attributed to HIV infection after adjustments for age, sex, ethnicity and presence of
    comorbidities; an unpublished meta-analysis including these studies found that the risk of death was almost double that of HIV-negative patients; however, confounding by comorbidities associated with increased risk of severe COVID-19 cannot be ruled
    out [13]. Protecting people living with HIV during the COVID-19 pandemic, and ensuring they can maintain treatment, is critical. Researchers are currently investigating whether people with HIV have an increased risk of poor outcomes with COVID-19. Preliminary
        evidence of moderate increased vulnerability of people with HIV makes it even more urgent that people with HIV have access to ARVs and treatments for co-morbidities – such as treatment for hypertension, cardiovascular disease, chronic pulmonary
        disease, diabetes, tuberculosis, and maintenance of a healthy body weight.  A larger dataset from a broader geographical representation is required to expand understanding of how SARS-CoV-2 co-infection with HIV impacts the severity of illness, disease progression and outcomes from hospitalization with COVID-19. For this purpose, WHO has established a Global COVID-19 Clinical Platform. As of 4 November 2020, WHO has received clinical data from 79 000 patients hospitalised with confirmed or suspected COVID-19, including from 5 291 hospitalised patients living with HIV, from over 30 countries around the world. The platform is open to all Member States and health facilities to contribute data and inclusion will help inform future guidance on how best to ensure PLHIV are well protected during the COVID-19 pandemic.PLHIV are advised to take the same COVID-19 precautions as recommended for the general population [14-15]: wash hands often; practice cough etiquette; ensure physical distancing; wear masks when appropriate and according to local regulations; seek medical care if symptomatic; self-isolate if one develops symptoms or has contact with a positive  COVID-19 case; and other actions per the local and government response.  It is important to ensure that PLHIV have access to antiretroviral drugs for longer periods (3-6 month supply); and that programmes practice multi-month dispensing (MMD) of ARVs, as well as, other necessary medications, such as, opiate substitution therapy (OST), TB preventative therapy (TPT) and treatments for comorbidities. It is also important to ensure that some vaccinations are up to date (influenza and pneumococcal vaccines) and there is access to adequate supplies of medicines to treat or prevent co-infections and comorbidities."
0,Can someone who has tested positive for COVID-19 be cared for at home?,"People with no symptoms should be able to stay at home, if adequately isolated from others, but this should be confirmed by a doctor. Those with mild or moderate disease can be considered for home care if they are under the age of 60, do not smoke, are not obese, and do not have other diseases such as cardiovascular disease, diabetes mellitus, chronic lung disease, cancer, chronic kidney disease, immunosuppression. A health worker will assess risk factors along with the person’s symptoms, medical history and ability for the family to manage the care. Household members need to limit shared spaces, practice the recommended hygiene and know how to recognize and respond to signs of worsening health.A trained health worker will need to assess whether the home in question is suitable for the isolation and care of a COVID-19 patient, and proper infection prevention control measures are put in place. Trained health workers are also important to support the patient and family in the home, or by phone, telemedicine, or outreach teams."
0,When should a patient with COVID-19 be cared for at home?,"Ideally, all patients with COVID-19 are cared for in a healthcare facility. However, there may be some circumstances where patients may not require hospitalization or inpatient care is unavailable or unsafe, such as when capacity is insufficient to meet the demand for healthcare services. Patients should be assessed on a case-by-case basis by the health worker to determine where their care needs can best be met."
0,How does COVID-19 spread between people?,"We know that the disease is caused by the SARS-CoV-2 virus, which spreads between people in several different ways.The virus can spread from an infected person’s mouth or nose in small liquid particles when they cough, sneeze, speak, sing or breathe. These particles range from larger respiratory droplets to smaller aerosols.Current evidence suggests that the virus spreads mainly between people who are in close contact with each other, typically within 1 metre (short-range). A person can be infected when aerosols or droplets containing the virus are inhaled or come directly
        into contact with the eyes, nose, or mouth.The virus can also spread in poorly ventilated and/or crowded indoor settings, where people tend to spend longer periods of time. This is because aerosols remain suspended in the air or travel farther than 1 metre (long-range).People may also become infected by touching surfaces that have been contaminated by the virus when touching their eyes, nose or mouth without cleaning their hands.Further research is ongoing to better understand the spread of the virus and which settings are most risky and why. Research is also under way to study virus variants that are emerging and why some are more transmissible. For updated information on
        SARS-CoV-2 variants, please read the weekly epidemiologic updates."
0,Does WHO recommend hydroxychloroquine to prevent COVID-19?,"WHO does not recommend hydroxychloroquine to prevent COVID-19. This recommendation is based on six trials with more than 6000 participants who did not have COVID-19 and received hydroxychloroquine. Using hydroxychloroquine for prevention had little or no effect on preventing illness, hospitalization or death from COVID-19. Taking hydroxychloroquine to prevent COVID-19 may increase the risk of diarrhea, nausea, abdominal pain, drowsiness and headache. More information can be found here. However, hydroxychloroquine and chloroquine are safe for use in patients with autoimmune diseases or malaria (not COVID-19)."
0,How many malaria-affected countries have reported cases of COVID-19?,"Malaria-endemic countries in all WHO have regions have reported cases of COVID-19. In the WHO African Region, which carries more than 90% of the global malaria burden, there have been more than 1 million confirmed cases of COVID-19 since the beginning of the pandemic. The latest situation reports on the COVID-19 pandemic are available on the WHO website."
0,Why should people wear masks?,"Masks are a key measure to suppress transmission and save lives. Masks should be used as part of a comprehensive ‘Do it all!’ approach including physical distancing, avoiding crowded, closed and close-contact settings, good ventilation, cleaning hands, covering sneezes and coughs, and more. Depending on the type, masks can be used for either protection of healthy persons or to prevent onward transmission."
0,How large does a meeting or event need to be in order to be a “mass gathering”?,"High profile international sporting events such as the Olympics or World Cups as well as international religious events such as the Hajj count as mass gatherings. However, lower profile conferences and events can also meet WHO’s definition of a mass gathering. An event counts as a “mass gatherings” if the number of people it brings together is so large that it has the potential to strain the planning and response resources of the health system in the community where it takes place. You need to consider the location and duration of the event as well as the number of participants. For example, if the event takes place over several days in a small island state where the capacity of the health system is quite limited then even an event with just a few thousand participants could place a big strain on the health system and then be considered a “mass gathering” event. Conversely, if the event is held in a big city in a country with a large, well-resourced health system and lasts just a few hours, the event may not constitute a “mass gathering” event."
0,Are pregnant women at higher risk from COVID-19?,"Pregnant women do not seem to be at higher risk of getting SARS-CoV-2, the virus that causes COVID-19. However, studies have shown an increased risk of developing severe COVID-19 if they are infected, compared with non-pregnant women of a similar age.
    COVID-19 during pregnancy has also been associated with an increased likelihood of preterm birth. Pregnant women who are older, overweight, or have pre-existing medical conditions such as hypertension (high blood pressure) and diabetes are at particular risk of serious outcomes of COVID-19.  It is important that pregnant women - and those around them - take precautions to protect themselves against COVID-19. If they become unwell (including with fever, cough or difficulty breathing), they should seek urgent medical advice from a health worker."
0,What is COVID-19?,"COVID-19 is a disease caused by a new coronavirus, which has not been previously identified in humans. In most cases, COVID-19 causes mild symptoms including dry cough, tiredness and fever, though fever may not be a symptom for some older people. Other mild symptoms include aches and pains, nasal congestion, runny nose, sore throat or diarrhoea. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people recover from the disease without needing special treatment. Around 1 out of every 6 people who get COVID-19 becomes seriously ill and has difficulty breathing."
0,Are children at lower risk of COVID-19 than adults?,"So far, data suggests that children under the age of 18 years represent about 8.5% of reported cases, with relatively few deaths compared to other age groups and usually mild disease. However, cases of critical illness have been reported. As with adults, pre-existing medical conditions have been suggested as a risk factor for severe disease and intensive care admission in children.Further studies are underway to assess the risk of infection in children and to better understand transmission in this age group."
0,What is serology?,"‘Serology’ is the study of antibodies in blood serum.  
‘Antibodies’ are part of the body’s immune response to infection. Antibodies that work against SARS-CoV-2 – the virus that causes COVID-19 – are usually detectable in the first few weeks after infection. The presence of antibodies indicates that a person was infected with SARS-CoV-2, irrespective of whether the individual had severe or mild disease, or no symptoms.
‘Seroprevalence studies’ are conducted to measure the extent of infection, as measured by antibody levels, in a population under study. With any new virus, including SARS-CoV-2, initial seroprevalence in the population is assumed to be low or non-existent due to the fact that the virus has not circulated before."
0,How are COVID-19 and influenza viruses similar?,"Firstly, COVID-19 and influenza viruses have a similar disease presentation. That is, they both cause respiratory disease, which presents as a wide range of illness from asymptomatic or mild through to severe disease and death.  Secondly, both viruses are transmitted by contact, droplets and fomites. As a result, the same public health measures, such as hand hygiene and good respiratory etiquette (coughing into your elbow or into a tissue and immediately disposing of the tissue), are important actions all can take to prevent infection."
0,"I am ATTENDING a small gathering or an event such as a wedding, a party or sports tournament. What precautions should I take to protect myself and others from getting infected with COVID-19?","Always check local regulations before attending an event.Stay at home if you are feeling unwell.Always comply with the following 3 basic preventive measures:Maintain at least 1 metre distance from others, and wear a mask if you cannot guarantee this distance.Cover a sneeze or cough with a tissue or bent elbow, and immediately dispose of tissue in a closed-lid bin. Avoid touching eyes, nose and mouth.Wash your hands frequently with soap and water, or with a hand sanitizer."
0,Why was the use of hydroxychloroquine stopped in the Solidarity Trial?,"On 17 June 2020, WHO announced that the hydroxychloroquine (HCQ) arm of the Solidarity Trial to find an effective COVID-19 treatment was being stopped. The trial's Executive Group and principal investigators made the decision based on evidence from the Solidarity trial, UK's Recovery trial and a Cochrane review of other evidence on hydroxychloroquine.Data from Solidarity (including the French Discovery trial data) and the recently announced results from the UK's Recovery trial both showed that hydroxychloroquine does not result in the reduction of mortality of hospitalised COVID-19 patients, when compared with standard of care."
0,What is physical activity?,"Physical activity includes all forms of active
recreation, sports participation, cycling and walking, as well as activities
you do at work and around the home and garden. It doesn’t have to be exercise
or sport – play, dance, gardening, and even house cleaning and carrying heavy
shopping is all part of being physically active.During the COVID-19 pandemic, when so many of us are
very restricted in our movements, it is even more important for people of all
ages and abilities to be as active as possible. Even a short break from
sitting, by doing 3-5 minutes of physical movement, such as walking or
stretching, will help ease muscle strain, relieve mental tension and improve
blood circulation and muscle activity. Regular physical activity can also help
to give the day a routine and be a way of staying in contact with family and
friends."
0,What precautions should everyone take in a hotel or other accommodation establishment?,"Everyone should follow basic precautions: Wash all parts of your hands frequently (at least 20 seconds if using an alcohol-based hand rub, and at least 40 seconds with soap and water), including after exchanging objects such as money or credit cards. Look for hand sanitizer stations and use them before going into dining halls, restaurants or bars.Cover a cough or sneeze with a bent elbow or tissue, and throw away the tissue in a closed bin.Maintain at least a 1 metre distance from staff and other guests. This includes avoiding hugging, kissing, or shaking hands. If you can’t guarantee the distance, wear a mask. Be sure to check local and national guidelines on the use of masks."
0,"As a smoker, is my risk of getting the COVID-19 virus higher than that of a non-smoker?","At the time of preparing this Q&A, there are no peer-reviewed studies that have evaluated the risk of SARS-CoV-2 infection associated with smoking. However, tobacco smokers (cigarettes, waterpipes, bidis, cigars, heated tobacco products) may be more vulnerable to contracting COVID-19, as the act of smoking involves contact of fingers (and possibly contaminated cigarettes) with the lips, which increases the possibility of transmission of viruses from hand to mouth. Smoking waterpipes, also known as shisha or hookah, often involves the sharing of mouth pieces and hoses, which could facilitate the transmission of the COVID-19 virus in communal and social settings."
0,Should I travel?,"If you are in a high-risk group for severe COVID-19 but have not been fully vaccinated and do not have immunity from a recent previous COVID-19 infection, consider postponing travel to areas where COVID-19 is widespread.People in high-risk groups – including those over the age of 60, those with chronic illnesses, and those with underlying health conditions – face increased risk of severe illness and death from COVID-19. Pay close attention to the COVID-19 situation at your destination, and follow border entry requirements, which may include testing or quarantine.In areas with high COVID-19 transmission rates, you may be at increased risk of COVID-19 infection. It’s important to know your health status and the risks of COVID-19 at your destination as you plan.  The rules for travel depend on where your trip originates and your destination. Follow travel advisories issued by both the country of origin and of destination."
0,"Are people with tuberculosis likely to be at increased risk of COVID-19 infection, illness and death?","While experience on COVID-19 infection in tuberculosis (TB) patients remains limited, it is anticipated that people ill with both TB and COVID-19 may have poorer treatment outcomes, especially if TB treatment is interrupted. Older age, diabetes and chronic      obstructive pulmonary disease (COPD) are linked with more severe COVID-19 and are      also risk factors for poor outcomes in TB.TB patients should take precautions as advised by health authorities to be protected from COVID-19 and continue their TB treatment as prescribed.People ill with COVID-19 and TB show similar symptoms such as cough, fever and
difficulty breathing. Both diseases attack primarily the lungs and although both
biological agents transmit mainly via close contact, the incubation period from
exposure to disease in TB is longer, often with a slow onset."
0,"As safe and effective vaccines for COVID-19 are approved, who should be the first to receive them?","WHO believes that everyone, everywhere who could benefit from safe and effective COVID-19 vaccines should have access as quickly as possible, starting with those at highest risk of serious disease or death. WHO’s Strategic Advisory Group of Experts on Immunization (SAGE) has released two key documents to help guide the allocation and prioritization of populations to receive COVID-19 vaccines:The Values Framework for the allocation and prioritization of COVID-19 vaccination, which offers high-level guidance globally on the values and ethical considerations regarding allocation of COVID-19 vaccines between countries, and offers guidance nationally on the prioritization of groups for vaccination within countries while supply is limited.  The Roadmap for Prioritizing Population Groups for Vaccines against COVID-19, which recommends public health strategies and target priority groups for different levels of vaccine availability and epidemiologic settings.  Examples of target priority groups include frontline health and care workers at high risk of infection, older adults, and those people at high risk of death because of underlying conditions like heart disease and diabetes. In addition, WHO led the development of a Fair Allocation Framework that aims to ensure that successful COVID-19 vaccines and treatments are shared equitably across all countries. This framework a key part of the Access to COVID-19 Tools (ACT) Accelerator, a global collaboration to accelerate development, production, and equitable access to COVID-19 tests, treatments, and vaccines. The framework advises that as safe and effective COVID-19 vaccines are authorized for use, all countries should receive doses in proportion to their population size to immunize the highest-priority groups. In the second phase, vaccines would continue to be deployed to all countries so that additional populations can be covered according to national priorities."
0,How is the research and development process being accelerated without compromising safety?,"WHO and its partners are committed to accelerating the development of COVID-19 vaccines while maintaining the highest standards on safety.In the past, vaccines have been developed through a series of steps that can take many years. Now, given the urgent need for COVID-19 vaccines, unprecedented financial investments and scientific collaborations are changing how vaccines are developed. This means that some of the steps in the research and development process have been happening in parallel, while still maintaining strict clinical and safety standards. For example, some clinical trials are evaluating multiple vaccines at the same time. However, this does not make the studies any less rigorous.More information about COVID-19 vaccine development is available here."
0,Is there a vaccine for COVID-19?,"Yes there are now several vaccines that are in use. The first mass vaccination programme started in early December 2020 and the number of vaccination doses administered is updated on a daily basis here.
 At least 13 different vaccines (across 4 platforms) have been administered.The Pfizer/BioNtech Comirnaty vaccine was listed for WHO Emergency Use Listing (EUL) on 31 December 2020. The SII/Covishield and AstraZeneca/AZD1222 vaccines (developed by AstraZeneca/Oxford and manufactured by the State Institute of India and SK Bio
    respectively) were given EUL on 16 February. The Janssen/Ad26.COV 2.S developed by Johnson & Johnson, was listed for EUL on 12 March 2021. The Moderna COVID-19 vaccine (mRNA 1273) was listed for EUL on 30 April 2021 and the Sinopharm COVID-19
    vaccine was listed for EUL on 7 May 2021. The Sinopharm vaccine is produced by Beijing Bio-Institute of Biological Products Co Ltd, subsidiary of China National Biotec Group (CNBG). The Sinovac-CoronaVac was listed for EUL on 1 June 2021.For further information, see here.WHO is on track to EUL other vaccine products through June. The products and progress in regulatory review by WHO is provided by WHO and updated regularly. The document is provided here.Once vaccines are demonstrated to be safe and efficacious, they must be authorized by national regulators, manufactured to exacting standards, and distributed. WHO is working with partners around the world to help coordinate key steps in this process,
    including to facilitate equitable access to safe and effective COVID-19 vaccines for the billions of people who will need them. More information about COVID-19 vaccine development is available  here."
